Station Name,Time Period,Avg Daily Entries,December_21_2024,Season
Downtown Largo,Midday (9:30am-3pm),0.4K,December_21_2024,Winter
Deanwood,Midday (9:30am-3pm),0.3K,December_21_2024,Winter
Crystal City,Midday (9:30am-3pm),1.3K,December_21_2024,Winter
Court House,Midday (9:30am-3pm),1.0K,December_21_2024,Winter
Congress Heights,Midday (9:30am-3pm),0.4K,December_21_2024,Winter
Columbia Heights,Midday (9:30am-3pm),2.3K,December_21_2024,Winter
College Park-U of Md,Midday (9:30am-3pm),0.4K,December_21_2024,Winter
Cleveland Park,Midday (9:30am-3pm),0.8K,December_21_2024,Winter
Clarendon,Midday (9:30am-3pm),0.7K,December_21_2024,Winter
Cheverly,Midday (9:30am-3pm),0.2K,December_21_2024,Winter
Capitol South,Midday (9:30am-3pm),1.2K,December_21_2024,Winter
Capitol Heights,Midday (9:30am-3pm),0.3K,December_21_2024,Winter
Brookland-CUA,Midday (9:30am-3pm),1.2K,December_21_2024,Winter
Branch Ave,Midday (9:30am-3pm),0.5K,December_21_2024,Winter
